Title,Artist
Maski Maski,Mt.8848
"Thamel Bazar - From ""Loot 2""",Kali Prasad Baskota
Bhawana,Jptrockerz
Samaya Ley,John Rai
Dekhe Timilai Hijo,The Axe
Daagbatti,Rachana Dahal
Bhawana,Rockheads
Ma Sansar Jitne,Sabin Rai
Maryo Ni Maryo,Cobweb
Sapphire,Ed Sheeran
Aankha Aankha Bichma,Ekdev Limbu
Chiso Chiso,Brijesh Shrestha
Likka Likka,UJAN SHAKYA
Mutu Mai Basecha,Brijesh Shrestha
Numbara,Brijesh Shrestha
Maya,Balen
Fikka Fikka,Swoopna Suman
la bhana,Salil Maharjan
Fast Pace,Salil Maharjan
Anaavashyak,Samir Shrestha
Ma Aaudai Chhu,Utsav Lamichhane
Ali Ali,Shreya Sotang
Asan Twa (Nepal Idol Season 6) - Live,Raaz Sayami Manandhar
Atteri,Sushant KC
NILA NILA AAKASHMA,Bluesss
Plan B,Sushant KC
Rangin,Sushant KC
Euta Sapana Chha - Male Version,Pushpan Pradhan
Dherai Din Pachi,Utsav Lamichhane
Kya Kardiya,Sushant KC
Khali,Bikki Gurung
Mayalu,Swoopna Suman
Chahana,Yugal Gurung
Saajha Ma Aunu (Maya ko Chino),Neetesh Jung Kunwar
Phul Butte Sari Female,Milan Newar
Uda Timi,Simma Rai
Eutai,Salil Maharjan
I Like You (Anischaya),Sushant KC
Kya Ramri,Ekdev Limbu
Kathmandu Sahar,Trishala Gurung
Afno Sansaar,Yugal Gurung
Mughlan,Bipul Chettri
Sirful-2,Ness Stds
First Date (Pahilo Bhet),Neetesh Jung Kunwar
Nayan Ma,Rohit John Chettri
Bidaai,Rohit John Chettri
1000 Bhawana,Salil Maharjan
Yo Maan,Trishala Gurung
Khula Aakash - Acoustic,Astha Tamang-Maskey
Muse,Astha Tamang-Maskey
Nasodha Malai,Swoopna Suman
Yehi Nai Ho K Maya,Bikki Gurung
Ghumi Phiri,Sajjan Raj Vaidya
Aaja Samma,Bikki Gurung
Arko Barsa,Bluesss
Mero Prem,AXIX
Ek Choti,AXIX
Saat Samundra Pari,AXIX
Maya Ma,Purna Rai
Malaai Chaana Na,Sajjan Raj Vaidya
Timi Kaha (In the studio),Alex Dware
A love letter to Darjeeling,Purna Rai
Swarga,Purna Rai
CHAAK,Purna Rai
Chitthi timilai lekhu vanchu,Bibash Jk
"Makhamali - From "" Oonko Sweater[The Woolen Sweater]""",Sujan Chapagain
Mayali Panche Baja,Basanta Thapa
Gorkhe Khukuri,Nischal Dawadi
DUSMAN HEREKO HERAI,Durgesh Thapa
Sajha Paryo Jhamakka (Original Motion Picture Soundtrack from Basanta),Prakash Saput
Maya Lai Panko Pat,Khem Century
RAIYA CHANDIKO (Purna Bahadurko Sarangi),7Seas Cinema
Kasmire Pachhyauri,Babu Krishna Pariyar
Jam Saili,Bimata Gharti Magar
Baseu Alakkai,Arjun Sapkota
Maya Aaune Bas,Diplove Khati
Namaste Dhogdiya,Kabita Khatri
Dukha Satamla Sukha Satamla,Arjun Sapkota
A Aama Jaam Bhanyo Malai,Rita Thapa Magar
Ghar Kata Ho Bainiko,Prakash Dutraj
Chauka Dau,Babu Krishna Pariyar
Meso Milayera,Nishan Bhattarai
Nirajale _ Uta Pareli Jhim Jhim bho,Hemant Sharma
Dandaghare Saili,Krishna KC
Jam Bho Maili,Prakash Dutraj
Syaula,Rajkumar Magar
